parameters	all_bases	all_TSS	called_TSS	called_nonTSS
l_0100.t_02	166078	17415688	110115	55963
l_0100.t_04	420293	17415688	402671	17622
l_0100.t_06	191257	17415688	188136	3121
l_0100.t_08	219944	17415688	219296	648
l_0100.t_10	177363	17415688	177130	233
l_0100.t_12	137578	17415688	137525	53
l_0100.t_14	108293	17415688	108293	0
l_0100.t_16	104438	17415688	104438	0
l_0200.t_02	53678	17415688	32006	21672
l_0200.t_04	102323	17415688	94341	7982
l_0200.t_06	689415	17415688	678244	11171
l_0200.t_08	1317724	17415688	1312524	5200
l_0200.t_10	341180	17415688	341057	123
l_0200.t_12	389372	17415688	389372	0
l_0200.t_14	222259	17415688	222259	0
l_0200.t_16	78213	17415688	78213	0
l_0400.t_02	261412	17415688	59575	201837
l_0400.t_04	143773	17415688	105234	38539
l_0400.t_06	233540	17415688	223146	10394
l_0400.t_08	2271322	17415688	2265027	6295
l_0400.t_10	444446	17415688	444446	0
l_0400.t_12	869364	17415688	869364	0
l_0400.t_14	539293	17415688	539293	0
l_0400.t_16	1068806	17415688	1068806	0
l_0600.t_02	279263	17415688	7338	271925
l_0600.t_04	207798	17415688	50587	157211
l_0600.t_06	143724	17415688	110006	33718
l_0600.t_08	1110750	17415688	1107723	3027
l_0600.t_10	258432	17415688	258432	0
l_0600.t_12	2988951	17415688	2988951	0
l_0600.t_14	3398872	17415688	3398872	0
l_0600.t_16	1594017	17415688	1594017	0
l_0800.t_02	438691	17415688	1291	437400
l_0800.t_04	1793236	17415688	115487	1677749
l_0800.t_06	176968	17415688	56244	120724
l_0800.t_08	778869	17415688	778869	0
l_0800.t_10	4202534	17415688	4202534	0
l_0800.t_12	1974776	17415688	1974776	0
l_0800.t_14	5660092	17415688	5660092	0
l_0800.t_16	1753272	17415688	1753272	0
l_1000.t_02	2581324	17415688	1597	2579727
l_1000.t_04	289311	17415688	3788	285523
l_1000.t_06	7636498	17415688	693081	6943417
l_1000.t_08	316856	17415688	91961	224895
l_1000.t_10	6135995	17415688	4494672	1641323
l_1000.t_12	4093354	17415688	3993422	99932
l_1000.t_14	3512266	17415688	3507214	5052
l_1000.t_16	5691750	17415688	5688190	3560
l_2000.t_02	390829	17415688	77	390829
l_2000.t_04	291200	17415688	841	290359
l_2000.t_06	201050	17415688	1587	199463
l_2000.t_08	4700778	17415688	66401	4634377
l_2000.t_10	3858992	17415688	150037	3708955
l_2000.t_12	6241016	17415688	535748	5705268
l_2000.t_14	266009	17415688	63151	202858
l_2000.t_16	5766792	17415688	1451918	4314874
